feature,importance_mean,importance_std
grid_lon,0.1613070094180385,0.00029966539735993945
grid_lat,0.06652324807856429,0.0013298129856193965
rh_1d,0.06255872519188517,0.0016627235029129709
rain_1d,0.018410010876596262,0.0012314170582768467
month,0.011883792699503104,0.0007065888643196273
rh_7d_mean,0.008641311978418487,0.0009446472538353147
rh_7d_min,0.006853330695392357,0.0003549257120496368
soil_7d_mean,0.0039489330289107505,0.0004500379071290157
rain_7d_total,0.0029585765879473593,0.0004901296288470213
soil_1d,0.0028628076738967724,0.0003188048975706577
temp_7d_max,0.002207290257650163,0.00035910068093914627
temp_7d_min,0.0017249581540268455,0.0004154282128669359
temp_7d_mean,0.0017216706557501293,0.00034002647780728235
wind_1d,0.0014395064656896662,0.00036164390843776813
soil_3d_mean,0.0011206782981532549,0.0002558358205787593
hour,0.00107084822816641,0.00014792718923970608
temp_1d,0.001030477362942106,0.0003718444976094725
rh_3d_min,0.0009682781209374491,0.00037811144608932036
wind_3d_max,0.0008582813586886173,9.470207732347655e-05
rain_3d_total,0.0007874938896725636,0.00028700129203743064
rh_3d_mean,0.0007318994281185764,0.00023125663321678586
temp_3d_max,0.0006920562208571734,0.00035158787686523325
wind_7d_mean,0.0006025841861576175,0.0002151999204294371
wind_7d_max,0.0004907074160181546,0.00013288817028684783
pressure_7d_mean,0.00038386774687442226,0.0001528479754327206
wind_3d_mean,0.00028526372779664745,0.00031125330386606225
temp_3d_mean,0.0002811692468993376,0.00015078147726694198
pressure_3d_mean,0.00020201371022015023,0.00015040910987537
pressure_1d,1.2782524212973101e-05,0.00023276265898416877
year,0.0,0.0
temp_3d_min,-0.00043736526107012174,0.00014951099992746786
